Name,Url,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
Kehwa Kitchen,https://www.zomato.com/jaipur/kehwa-kitchen-1-tonk-road,Tonk Phatak,49 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Fast Food, North Indian",600,yes,no,yes,yes,3.2,
Kekiz The Cake Shop,https://www.zomato.com/jaipur/kekiz-the-cake-shop-raja-park,Raja Park,13 Dining Reviews,Does not offer Delivery,Bakery ,Bakery,300,no,no,no,yes,3.5,
Kekiz The Cake Shop,https://www.zomato.com/jaipur/kekiz-the-cake-shop-sodala,Sodala,13 Dining Reviews,Does not offer Delivery,Bakery ,Bakery,300,no,no,no,yes,,
Kerala Kafe,https://www.zomato.com/jaipur/kerala-kafe-sodala,Sodala,63 Dining Reviews,714 Delivery Reviews,Quick Bites ,South Indian,300,no,no,yes,yes,3.6,3.9
Kesar,https://www.zomato.com/jaipur/kesar-tonk-road,Durgapura,296 Dining Reviews,"1,977 Delivery Reviews",Sweet Shop ,Mithai,200,yes,no,yes,yes,4,3.8
Kesar Da Dhaba,https://www.zomato.com/jaipur/kesar-da-dhaba-ajmer-highway,Ajmer Highway,Does not offer Dining,631 Delivery Reviews,,North Indian,300,no,no,yes,no,,4.1
Kesar Da Dhaba,https://www.zomato.com/jaipur/kesar-da-dhaba-malviya-nagar,Malviya Nagar,Does not offer Dining,167 Delivery Reviews,,North Indian,300,no,no,yes,no,,4.3
Kesar Dhaba Restaurant,https://www.zomato.com/jaipur/kesar-dhaba-restaurant-sikar-road,Sikar Road,52 Dining Reviews,993 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",300,yes,no,yes,yes,3.5,4.2
Kesar Kanha,https://www.zomato.com/jaipur/kesar-kanha-chitrakoot,Chitrakoot,98 Dining Reviews,313 Delivery Reviews,Casual Dining ,"North Indian, Chinese",800,yes,no,yes,yes,3.6,3.1
Kesar Kyari - The Bar-be-que,https://www.zomato.com/jaipur/kesar-kyari-the-bar-be-que-tonk-road,Sitapur,7 Dining Reviews,Does not offer Delivery,Casual Dining ,North Indian,"1,000",no,yes,no,yes,3.3,
Kesari,https://www.zomato.com/jaipur/kesari-malviya-nagar,Malviya Nagar,11 Dining Reviews,Does not offer Delivery,Kiosk ,"North Indian, Fast Food",400,yes,no,no,yes,3.5,
